id,dimension,sourceDrivers,level,seedingQuestion,title,condition,role
C15,Public health's permission to act,Public Health Under Political Fire; The Lowered Shield,Level 3,How much permission does public health have to act?,Place-dependent permission,Legitimacy and powers differ sharply across states and communities.,Core
C16,Public health's permission to act,Public Health Under Political Fire; The Lowered Shield,Level 3,How much permission does public health have to act?,Constant political resistance,Public health remains a routine target and its powers are tightly constrained.,Edge
C17,The institutional base,The Great Subtraction; Funding Whiplash & the Austerity Cliff,Level 3,What kind of institutional base can public health sustain?,Strong public backbone,"Core institutions have durable funding, staff, and infrastructure.",Core
C18,The institutional base,The Great Subtraction; Funding Whiplash & the Austerity Cliff,Level 3,What kind of institutional base can public health sustain?,"Lean core, shared capacity","Small institutions rely on networks, pooled funds, and shared services.",Core
C19,The institutional base,The Great Subtraction; Funding Whiplash & the Austerity Cliff,Level 3,What kind of institutional base can public health sustain?,"Strong nodes, weak gaps",Capable organizations coexist with major geographic and functional holes.,Core
C20,The institutional base,The Great Subtraction; Funding Whiplash & the Austerity Cliff,Level 3,What kind of institutional base can public health sustain?,Hollowed and outsourced,Critical functions move to vendors or disappear as public capacity shrinks.,Edge
C21,The workforce model,The Workforce Cliff; The Power of One,Level 3,Who does the work of public health?,Rebuilt public workforce,A broader multidisciplinary workforce is recruited and retained.,Core
C22,The workforce model,The Workforce Cliff; The Power of One,Level 3,Who does the work of public health?,Small AI-augmented core,"Lean teams work through automation, CHWs, and shared specialists.",Core
C23,The workforce model,The Workforce Cliff; The Power of One,Level 3,Who does the work of public health?,Distributed partner workforce,"Contractors, community organizations, universities, and creators do more of the work.",Core
C24,The workforce model,The Workforce Cliff; The Power of One,Level 3,Who does the work of public health?,Chronic shortage and memory loss,Vacancies persist and capability resets with each departure.,Edge
C25,AI infrastructure and access,AI as Public Health Infrastructure,Level 3,Who controls and benefits from public-health AI?,Public AI utility,"Trusted, governed tools are available across the field.",Core
C26,AI infrastructure and access,AI as Public Health Infrastructure,Level 3,Who controls and benefits from public-health AI?,Shared network services,"Institutions pool AI capabilities, talent, and standards.",Core
C27,AI infrastructure and access,AI as Public Health Infrastructure,Level 3,Who controls and benefits from public-health AI?,Vendor-owned stack,Agencies rent closed tools and infrastructure from private firms.,Core
C28,AI infrastructure and access,AI as Public Health Infrastructure,Level 3,Who controls and benefits from public-health AI?,Unequal AI arms race,Well-resourced actors accelerate while others fall further behind.,Edge
C29,What public health can see,Data Modernization & Real-Time Surveillance; The Shadow Healthcare System,Level 3,How visible is population health in real time?,Live public health picture,"Integrated systems provide a trusted, real-time view of population health.",Core
C30,What public health can see,Data Modernization & Real-Time Surveillance; The Shadow Healthcare System,Level 3,How visible is population health in real time?,Connected local pictures,Federated systems share enough data to coordinate while remaining decentralized.,Core
C31,What public health can see,Data Modernization & Real-Time Surveillance; The Shadow Healthcare System,Level 3,How visible is population health in real time?,Private platforms see more,Companies have faster and richer data than public agencies.,Core
C32,What public health can see,Data Modernization & Real-Time Surveillance; The Shadow Healthcare System,Level 3,How visible is population health in real time?,Growing blind spots,Fragmented systems and off-grid care leave public health partially blind.,Edge
C33,Control of body data,Biodata Sovereignty,Level 3,Who owns and controls data from people's bodies?,Trusted public use,Strong governance allows biodata to support population health.,Core
C34,Control of body data,Biodata Sovereignty,Level 3,Who owns and controls data from people's bodies?,Individual control,People decide who can use their data and may trade or license it.,Core
C35,Control of body data,Biodata Sovereignty,Level 3,Who owns and controls data from people's bodies?,Corporate control,Platforms and data brokers hold the most valuable datasets.,Core
C36,Control of body data,Biodata Sovereignty,Level 3,Who owns and controls data from people's bodies?,Government access,Public agencies or law enforcement gain broad access for public or political purposes.,Edge
C37,The threat environment,Climate as a Health Multiplier; The Changing Nature of Disease; The Lowered Shield,Level 1 baseline + Level 3 range + Level 4 wildcard,What kind of threat environment does public health face?,Adaptation keeps pace,"Known climate and disease pressures grow, but investments contain many impacts.",Core
C38,The threat environment,Climate as a Health Multiplier; The Changing Nature of Disease; The Lowered Shield,Level 1 baseline + Level 3 range + Level 4 wildcard,What kind of threat environment does public health face?,Compounding known threats,"Heat, smoke, disasters, outbreaks, and displacement increasingly arrive together.",Core
C39,The threat environment,Climate as a Health Multiplier; The Changing Nature of Disease; The Lowered Shield,Level 1 baseline + Level 3 range + Level 4 wildcard,What kind of threat environment does public health face?,Slow-moving systemic crisis,"AMR, chronic disease, and environmental exposure create sustained strain.",Core
C40,The threat environment,Climate as a Health Multiplier; The Changing Nature of Disease; The Lowered Shield,Level 1 baseline + Level 3 range + Level 4 wildcard,What kind of threat environment does public health face?,Unfamiliar biological shock,A novel or engineered threat falls outside existing assumptions.,Wildcard
C41,The model of prevention,"Chronic, Metabolic & Longevity Reckoning; From Sick Care to Self-Care",Level 3,How does society try to stay healthy?,Healthier conditions first,"Environments, food systems, housing, and social supports become the main intervention.",Core
C42,The model of prevention,"Chronic, Metabolic & Longevity Reckoning; From Sick Care to Self-Care",Level 3,How does society try to stay healthy?,Medicine-led prevention,"Drugs, diagnostics, and clinical monitoring manage risk at scale.",Core
C43,The model of prevention,"Chronic, Metabolic & Longevity Reckoning; From Sick Care to Self-Care",Level 3,How does society try to stay healthy?,Consumer optimization,"Wellness products, personal data, supplements, and biotech define prevention.",Core
C44,The model of prevention,"Chronic, Metabolic & Longevity Reckoning; From Sick Care to Self-Care",Level 3,How does society try to stay healthy?,Personal responsibility regime,Health is moralized as an individual choice regardless of structural conditions.,Edge
C45,The structure of care,The Decentralization of Care; The Shadow Healthcare System; The Fringe Ascendant,Level 1 direction + Level 3 expression,How connected is care outside hospitals to the public system?,Distributed and connected,"Home, retail, community, and public systems share data and responsibility.",Core
C46,The structure of care,The Decentralization of Care; The Shadow Healthcare System; The Fringe Ascendant,Level 1 direction + Level 3 expression,How connected is care outside hospitals to the public system?,Platform-led but regulated,Large platforms organize care under common rules and data standards.,Core
C47,The structure of care,The Decentralization of Care; The Shadow Healthcare System; The Fringe Ascendant,Level 1 direction + Level 3 expression,How connected is care outside hospitals to the public system?,Parallel systems with bridges,Formal and alternative systems remain distinct but connect at key points.,Core
C48,The structure of care,The Decentralization of Care; The Shadow Healthcare System; The Fringe Ascendant,Level 1 direction + Level 3 expression,How connected is care outside hospitals to the public system?,Invisible shadow system,"Large portions of care sit outside oversight, surveillance, and safeguards.",Edge
C49,Individual and movement power,The Power of One; The Fringe Ascendant,Level 3,Who can shape health behavior and policy at scale?,Many local problem-solvers,Individuals and small groups use new tools to create useful public goods.,Core
C50,Individual and movement power,The Power of One; The Fringe Ascendant,Level 3,Who can shape health behavior and policy at scale?,Trusted super-connectors,A small number of credible people become key partners and distribution nodes.,Core
C51,Individual and movement power,The Power of One; The Fringe Ascendant,Level 3,Who can shape health behavior and policy at scale?,Influencers rival institutions,Reach and identity matter as much as expertise or formal authority.,Core
C52,Individual and movement power,The Power of One; The Fringe Ascendant,Level 3,Who can shape health behavior and policy at scale?,High-leverage disruption,One actor or small group can rapidly destabilize health behavior or systems.,Edge
